id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,b1,b2,b3,b4,b5,b6,db1,db2,db3,db4,db5,db6
292,1026,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,Fishbowl,Mills,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,1028,NA,NA,1617,1718,us ug,Belong,Some Place,MCC,Starbucks,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,1031,NA,NA,1617,1718,us ug,Belong,Some Place,Starbucks,Subway,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,1044,NA,NA,1617,1718,us ug,Belong,Some Place,Computer,Craft,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,1046,NA,NA,1617,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,1048,NA,NA,1617,1718,us ug,Belong,Some Place,Mills,Stairs1,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,1061,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,1062,NA,NA,1617,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,Lobby,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,1064,NA,NA,1617,1718,us ug,Belong,Some Place,FallingSky,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,1066,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,O,Other2,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,1071,NA,NA,1617,1718,us ug,Belong,Some Place,CSI.RC,Fishbowl,WC,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,1086,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Mills,Stairs1,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,1093,NA,NA,1617,1718,us ug,Belong,Some Place,Craft,Fishbowl,Other2,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,1130,NA,NA,1617,1718,us ug,Belong,Some Place,Fishbowl,Other1,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,1131,NA,NA,1617,1718,us ug,Belong,Some Place,DuckNest,Fishbowl,Starbucks,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,1161,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,FreshMarket,FSL,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,1162,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,FreshMarket,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,1168,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,Mills,O,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,1170,NA,NA,1718,1718,us ug,Belong,Some Place,DuckNest,FallingSky,Fishbowl,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,1172,NA,NA,1718,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,1174,NA,NA,1718,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,1177,NA,NA,1718,1718,us ug,Belong,Some Place,CSI.RC,Other2,Redwood,WC,NA,NA,NA,NA,NA,NA,NA,NA
346,1181,NA,NA,1718,1718,us ug,Belong,Some Place,Other1,Redwood,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,1189,NA,NA,1718,1718,us ug,Belong,Some Place,Courtyard,Fishbowl,Hallway1stFloor,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,1192,NA,NA,1718,1718,us ug,Belong,Some Place,McMillan,O,Taylor,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,1196,NA,NA,1718,1718,us ug,Belong,No Place,No Place,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,1197,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,Taylor,Townshend,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,1200,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,SouthAtrium,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,1209,NA,NA,1718,1718,us ug,Belong,Some Place,Fishbowl,No Place,No Place,NA,NA,NA,NA,NA,NA,NA,NA,NA
