id,id_bl,id_si,id_eoy22,cohort,ayear,sample,sent,some_place,place_num,place
98,475,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LillisComplex
98,475,NA,NA,1516,1718,us ug,Belong,Some Place,b2,MattKnight
98,475,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
99,480,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LokeyComplex
99,480,NA,NA,1516,1718,us ug,Belong,Some Place,b2,No Place
99,480,NA,NA,1516,1718,us ug,Belong,Some Place,b3,No Place
100,487,NA,NA,1516,1718,us ug,Belong,No Place,b1,No Place
100,487,NA,NA,1516,1718,us ug,Belong,No Place,b2,No Place
100,487,NA,NA,1516,1718,us ug,Belong,No Place,b3,No Place
101,488,NA,NA,1516,1718,us ug,Belong,Some Place,b1,Autzen
101,488,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
101,488,NA,NA,1516,1718,us ug,Belong,Some Place,b3,MattKnight
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
102,490,NA,NA,1516,1718,us ug,Belong,Some Place,b3,Longhouse
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
103,491,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
104,492,NA,NA,1516,1718,us ug,Belong,Some Place,b1,LokeyComplex
104,492,NA,NA,1516,1718,us ug,Belong,Some Place,b2,McKenzie
104,492,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b1,EMU
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b2,Friendly
105,493,NA,NA,1516,1718,us ug,Belong,Some Place,b3,KnightLaw
106,494,NA,NA,1516,1718,us ug,Belong,Some Place,b1,KnightLaw
106,494,NA,NA,1516,1718,us ug,Belong,Some Place,b2,LokeyComplex
106,494,NA,NA,1516,1718,us ug,Belong,Some Place,b3,SRC
107,495,NA,NA,1516,1718,us ug,Belong,Some Place,b1,ClinicalServices
